pelicula,genero,duracion,presupuesto,recaudacion,director,fecha_nac_director,actor_protagonista,fecha_nac_prota
Chinaman (Kinamand),Ciencia ficción,1.88,11644747.56,21406740.6,Caryl Calan,2/18/1939,Bartholomeo Ovington,3/2/1991
Bird,Fantasía,1.1,9385594.98,20871454.12,Archibold Bech,12/31/1971,Arty Willes,10/21/2022
Valkyrie,Fantasía,1.19,26002809.24,64557871.15,Ofilia Dredge,7/17/2006,Vitoria Dundendale,5/29/1993
Sinivalkoinen valhe,Fantasía,1.15,16669819.43,32489125.8,Kit Harroway,6/21/1985,Carlotta Japp,11/27/1954
Peaceful Warrior,Suspense,1.92,11176467.28,8353324.57,Christiano Debling,7/15/1986,Keith Forster,6/18/2014
Interstellar,Comedia,1.33,21530639.84,40473700.81,Arny Benny,9/4/1951,Aimil Hanretty,11/22/2011
Pet Sematary,Fantasía,1.05,24521688.8,54026040.27,Mitchell Westbrook,5/12/1955,Giustino Klamp,3/19/1967
Evil Under the Sun,Ciencia ficción,3.05,23007637.69,40222871.06,Tanhya Willcox,8/4/1959,Fabe Valentin,7/29/1972
Täynnä Tarmoa,Fantasía,3.01,12500561.39,16225156.21,Cecile Bartul,3/30/1979,Whitaker Enden,3/24/1956
"Clock, The",Fantasía,1.58,27397420.5,78868538.72,Dell Dominick,8/31/1978,Chickie Henkens,3/14/2007
Merrill's Marauders,Bélico,3.15,7735403.63,10154285.38,Augusta Knuckles,2/20/2025,Augustina Allnatt,3/26/2023
James Dean,Acción,2.38,27909254.13,74185036.06,Aldin Plante,12/16/1964,Ray MacAscaidh,8/14/1931
Only Two Can Play,Drama,3.89,26826110.38,44986481.18,Gage Hover,9/6/1981,Dniren Diack,9/6/1959
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,Ciencia ficción,1.02,13381802.5,20838216.79,Renee Harkess,9/26/1988,Ariela Thompkins,5/7/2016
Faces of Death,Fantasía,3.63,12902635.39,11644770.39,Damaris Bortolazzi,8/31/1948,Damon Jurczak,11/7/2019
Malibu High,Bélico,1.99,23083731.56,42221117.63,Karolina MacAllester,9/5/1978,Homer Fookes,8/24/1942
So Close (Chik Yeung Tin Sai),Fantasía,1.42,10490153.38,17059019.36,Lula Elliot,6/20/1941,Asher Robilart,5/18/1942
Half a Loaf of Kung Fu (Dian zhi gong fu gan chian chan),Aventura,3.37,6348278.59,5647127.06,Bryna Ollenbuttel,3/1/1946,Glory Goare,9/16/1941
Getting to Know You,Acción,2.22,26200744.54,70879690.57,August Florez,4/20/1982,Daniela Dirkin,8/12/1962
Before Flying Back to Earth (Pries parskrendant i zeme),Animación,2.49,25667832.55,52994021.87,Auberon Tran,9/19/1943,Oriana Arbuckel,7/29/2012
Love Streams,Animación,1.64,8627532.77,14362551.8,Fawnia Boullin,7/27/2009,Shae Kulver,5/21/1972
Hustler White,Fantasía,2.63,5179932.49,2591335.11,Lucille Heberden,11/19/1943,Martguerita Connock,1/21/1956
I Don't Want to Sleep Alone (Hei yan quan),Comedia,3.61,23542190.38,22628802.73,Woody Laborda,11/25/1948,Desirae Chestle,10/3/1988
"Longest Day, The",Suspense,1.24,17417631.55,20190445.53,Annemarie Clopton,5/16/1955,Corey Balducci,1/11/2020
Rude Boy,Ciencia ficción,3.54,12362970.06,14351385.17,Durante Deerr,10/18/1994,Jazmin Grunnill,10/9/2010
"Red Desert (Deserto rosso, Il)",Drama,1.19,15778484.5,8535384.98,Rochette Limbert,4/21/1942,Wilbert Carwithim,5/12/1998
"Grand Dukes, The (Les grands ducs)",Fantasía,3.61,15931394.84,30795606.92,Errol Mannakee,5/27/1965,Corrina Pipet,6/27/1982
That's Entertainment,Drama,1.41,23779129.28,24732643.55,Muffin Dunkinson,10/1/1965,Fabien Kiendl,12/19/2009
Trailer Park Boys: Live at the North Pole,Acción,1.89,9006534.08,11273512.07,Karole Duerden,2/14/1932,Eba Janssen,2/6/2000
"Return of the Pink Panther, The",Romance,3.44,12981108.96,31949757.24,Dennie Cowles,6/18/1994,Chandler Attril,4/3/1960
Love and Bullets,Western,1.18,24192043.38,13199946.01,Sianna Barbery,8/25/2019,Rickert Cousins,10/1/1966
Early Spring (Soshun),Animación,2.51,12828728.96,32654722.71,Lisa Hurling,7/9/1968,Heddi Rivaland,9/19/2019
At Home by Myself... with You,Misterio,3.93,5662111.9,14761263.46,Kip McKinnon,12/4/1970,Teresa Simononsky,12/8/2011
Bruna Surfistinha,Documental,3.79,24002667.77,66426097.13,Collie Jelley,9/27/1981,Brigid Culshew,4/29/1962
"Artist and the Model, The (El artista y la modelo)",Terror,1.64,23013998.51,16289946.86,Dee Durant,8/13/1937,Kinsley Longmuir,5/30/1999
Cheaper by the Dozen 2,Misterio,1.8,25347080.53,21550586.87,Locke Eltun,3/31/1996,Kevon Bellham,11/27/1956
Sniper: Reloaded ,Misterio,1.02,27301106.02,33060049.71,Romona Shurmer,7/9/1939,Crawford Proppers,6/28/1996
RoboCop,Documental,1.5,13723104.37,11545131.26,Royall Youle,9/10/1951,Oneida Dalgety,6/8/1975
Notorious C.H.O.,Misterio,3.9,22045290.43,35333116.81,Clari Boshere,11/13/2012,Amara Stainton - Skinn,11/13/2014
Bootmen,Cine negro,2.66,12851641.6,12847930.63,Madge O'Dreain,7/31/1974,Merissa Littledyke,7/10/1947
Where a Good Man Goes (Joi gin a long),Comedia,1.15,5863361.38,14415969.88,Giacomo Arrundale,4/9/1991,Nellie Fellgate,8/9/1930
What Richard Did,Acción,3.48,15881373.51,8279430.89,Kalila Galler,11/14/1990,Ginnie Weblin,1/23/2014
"Perfect Storm, The",Bélico,3.03,13403305.81,28903666.5,Melessa Scrivinor,7/3/1992,Tito Alliband,3/26/1952
"Son's Room, The (Stanza del figlio, La)",Animación,2.31,11955936.13,11669843.11,Mick Faulconbridge,8/19/1996,Vincents Goldhill,7/15/1982
"Las Vegas Story, The",Aventura,1.95,29380731.25,62997217.81,Adah Male,8/14/1960,Hartley Sowerbutts,7/27/1934
Once Upon a Time in Shanghai,Fantasía,2.76,7699512.05,9232422.81,Abran Feavers,8/8/1981,Ariela Kohter,7/1/2003
Picnic at Hanging Rock,Romance,1.68,21658169.7,47048423.31,Urban Laugier,4/4/2008,Wood Britzius,8/21/2001
"American Crime, An",Cine negro,2.94,26600900.34,26294374.03,Maiga Shitliffe,6/26/2011,Robbi Dumpleton,5/22/2017
She's the Man,Terror,1.92,7179500.82,13043128.19,Georgina Seeley,9/17/1955,Valenka Hensmans,12/9/2015
Oliver Twist,Ciencia ficción,1.51,24663868.84,14564540.84,Nathanael Trude,7/17/2007,Jocelyn Leggott,7/5/2025
Someday This Pain Will Be Useful to You,Fantasía,3.38,10745580.65,21232130.45,Dalia Foale,7/14/1973,Deva Turone,3/25/1958
Merantau,Bélico,1.68,26218181.55,40362682.5,Luz Zavittieri,1/2/1965,Bondy McIlwraith,8/7/2012
Need for Speed,Suspense,3.4,6228580.19,10919422.7,Yolande Nixon,9/22/1995,Lorne Oels,8/15/1964
"Jane Austen Book Club, The",Suspense,1.24,16727721.6,31177631.22,Francine Saundercock,5/7/1983,Jerald Kaesmans,11/29/1967
Beware of Mr. Baker,Bélico,1.88,8057950.88,19734585.73,Dulcia Klesse,5/7/1943,Felice Martschik,8/20/1933
Louie Bluie,Documental,3.36,17094849.51,36601418.75,Bobby Nicklin,3/9/2005,Jackquelin Wattisham,10/15/1941
"Specials, The",Fantasía,1.49,6110471.86,6664796.12,Towney Zannolli,2/17/1975,Napoleon Roft,12/28/1941
Gran Torino,Drama,2.18,20101542.52,21886150.78,Debby Phorsby,4/26/1943,Obadias Darbon,8/14/1931
"French Connection, The",Documental,3.93,6296145.11,3536781.84,Marcy Puden,12/10/1991,Robby Cromett,6/15/2021
When a Woman Ascends the Stairs (Onna ga kaidan wo agaru toki),Comedia,3.59,14513912.72,17605786.03,Polly De Malchar,10/20/2004,Eduardo Northern,4/21/1971
Pleasantville,Comedia,1.28,14030762.48,22794487.58,Uriah Willcot,10/17/1949,Cosmo Perroni,7/22/1981
Man Trouble,Bélico,3.48,23385489.42,65878198.98,Bryn Jupe,6/7/1997,Goran Tettersell,4/4/1994
"Monkey's Teeth (Dents du singe, Les)",Fantasía,1.64,5561367.83,8323106.85,Creighton Belsey,5/3/1990,Annelise Dionsetti,8/14/2016
Driving Lessons,Terror,2.18,20265379.19,47604011.82,Forester Dubose,10/2/1963,Reyna Le Brun,8/18/1969
"War Zone, The",Western,1.57,22176068.48,54155025.72,Gipsy O'Toole,8/8/1975,Franni Petofi,11/3/1996
Money Matters ,Acción,1.71,11528885.29,8419832.07,Inger Cobon,1/22/1954,Jenny Bernardon,6/8/1953
"Cheyenne Social Club, The",Drama,1.24,28801647.55,76982395.2,Aridatha Fairbourne,6/12/2009,Bert Nowak,11/7/1966
Lady Dragon,Acción,1.41,10038749.23,18603508.38,Franky Hassey,9/12/1951,Tommi Steinham,7/13/1964
Home Room,Western,3.88,16613017.39,28764258.12,Reba Haugh,10/10/2021,Garrek Linnett,12/23/1944
The Hire: Ticker,Acción,2.01,8398612.13,18858386.51,Doy Cockshut,11/30/2000,Way McAllaster,3/2/2008
"Chicken, the Fish and the King Crab, The (El pollo, el pez y el cangrejo real)",Misterio,1.78,25079288.95,57075841.66,Abel Turtle,12/4/1998,Giacopo Lowdyane,1/29/1938
Green Ice,Western,3.36,22270065.95,41435130.41,Karleen Kunkel,4/4/1968,Salli Crosetto,8/26/2011
Blue Steel,Cine negro,2.7,10571934.58,5907438.1,Candace McClinton,8/15/2008,Giulio Daltry,5/27/1947
Sparrows,Ciencia ficción,3.48,17499834.47,37568924.14,Sebastiano Gaskarth,8/29/1988,Marylou Harbin,10/13/2000
"Familie, En",Bélico,3.62,9610815.24,8488265.07,Virgie Von Helmholtz,9/12/1984,Kendre Bannester,10/13/1935
Stevie,Cine negro,1.25,11370450.69,11528214.93,Pren Bathurst,12/15/1962,Zaccaria Doubleday,3/31/2007
Offender,Animación,3.52,8314027.13,8353558.98,Nikoletta McParlin,2/17/2004,Marnie Randal,9/7/2015
"Birth of a Nation, The",Drama,2.79,6240957.23,11940772.4,Buck Bader,5/11/1939,Wilbur M'Barron,12/18/2004
Beastly,Documental,1.62,8470045.65,12243823.17,Becky Sweetland,4/6/1933,Daisey Grason,9/15/1945
"Garbage Pail Kids Movie, The",Terror,3.1,6315159.04,9470140.38,Federica Piborn,10/6/1936,Augie Rarity,1/5/2012
Voyage to the Prehistoric Planet,Animación,1.49,21080567.9,17511534.4,Felicle Tincey,4/2/1940,Hyacinth Cowles,11/2/1964
Life for Sale (Kotirauha),Cine negro,1.93,26901070.04,64601766.4,Bradney Sinnott,2/21/1992,Janean Asplin,10/20/1975
Another Country,Comedia,1.53,27932572.86,35156896.6,Dianemarie Nann,9/18/1933,Gerri Ofield,9/14/1942
Dance with a Stranger,Animación,3.2,27168643.84,28104607.43,Jaine Darwen,6/13/2018,Susy Busse,5/15/2011
8 Heads in a Duffel Bag,Misterio,3.3,13074922.73,10243097.88,Philbert Meekins,3/19/2000,Vale Davys,10/27/1932
"Ugly, The",Western,3.87,19852690.26,27491552.98,Gail Cuningham,5/13/2018,Sammie Bebis,1/24/1941
Three (a.k.a. 3 Extremes II) (Saam gaang),Comedia,2.52,19564930.09,23583341.29,Meade Lethbury,8/19/2006,Townsend Botfield,5/29/1984
"Hard Man, The",Misterio,2.62,16102162.91,17038426.46,Ashla Lokier,8/2/1981,Janith Dalling,9/8/2024
Bloodline,Drama,1.8,7629374.48,18223323.59,Cara Bubeer,9/21/2019,Carlo Cominello,1/24/1970
Che: Part One,Romance,2.99,11005995.7,11748807.75,Timothy Grishakov,8/22/1947,Eadmund Pitrelli,2/24/1999
"Taking of Power by Louis XIV, The (Prise de pouvoir par Louis XIV, La)",Animación,3.28,13506242.36,30610899.17,Urbanus Pagnin,3/17/2014,Storm Bleibaum,11/12/1938
Lymelife,Ciencia ficción,1.21,17526720.6,27642351.2,Hiram Rydzynski,11/16/1931,Elianora Neilson,5/10/1938
Babylon 5: The Lost Tales - Voices in the Dark,Drama,2.93,16224510.29,38313572.67,Rochette MacCulloch,2/18/1967,Emilio Ofener,1/15/1961
Metroland,Documental,3.67,27900293.41,16535461.36,Angil Dykins,12/18/1969,Elianore Bridat,3/6/1969
You've Got Mail,Fantasía,1.82,18066971.38,31277383.82,Stevy Tonkinson,9/29/1989,Martha Gow,6/28/1936
Out of the Blue,Suspense,1.11,18259463.54,48520382.62,Lindy Faustian,4/6/1936,Waldemar Van der Mark,12/5/1947
Torrente 3: El protector,Documental,1.63,19841543.82,40514319.2,Gayler Simkovich,8/30/2003,Caesar Flavelle,2/21/1938
Sink or Swim,Suspense,3.48,22514698.86,41291727.85,Lothario Prujean,5/20/1979,Farly Ianson,11/30/1974
Romeo Must Die,Ciencia ficción,2.88,15487760.8,24586313.32,Yehudit Livett,5/17/1977,Sara-ann Darragon,12/23/1988
"Associate, The (Associé, L')",Misterio,1.79,8687179.3,5600662.97,Bertie Gaudon,2/7/1934,Jamaal Cardozo,8/2/1986
"Ritz, The",Cine negro,3.67,18127143.57,41414947.06,Kellie Hamflett,8/29/1989,Angela Filippov,11/12/1950
"Sheltering Sky, The",Ciencia ficción,1.53,15855762.93,20298931.03,Karlis Dadd,1/8/1938,Westleigh Rysdale,8/13/1943
Quills,Cine negro,2.99,22328714.29,15846057.31,Clari Ferrar,4/20/1977,Laurette Mattheeuw,7/29/1984
Anthony Zimmer,Suspense,2.43,29665788.52,86356819.76,Winfred Robelet,7/3/2003,Link Barrington,8/10/2005
Doctor Zhivago,Fantasía,1.07,25975686.54,52495756.89,Arlen Fripps,6/29/1946,Joyous Grimsley,7/16/1933
Lawyer Man,Cine negro,3.61,13751468.71,30962448.77,Vinson Crassweller,4/4/1978,Ross Duffree,9/11/1934
New York Lightboard Record,Documental,1.94,19043323.63,51611100.45,Irita Ham,5/12/1945,Dulciana Shapera,12/1/1987
Two Sisters from Boston,Documental,3.1,17190459.42,17354058.45,Meagan Loidl,1/16/2008,Jenn Sissot,3/18/1975
Noroi: The Curse ,Romance,2.85,29422134.36,30574119.49,Archambault Eggar,10/2/1954,Zolly Papps,6/30/1979
Heartbeat,Aventura,1.51,26054107.14,15186979.44,Naomi Norrey,7/9/1958,Vic Dionisi,9/18/2011
Moscow Clad in Snow (Moscou sous la neige) ,Terror,3.69,24380529.89,43316407.93,Sayer Priden,8/29/1993,Gordy Crucitti,12/15/1969
Tabu,Romance,3.7,21661734.69,12622732.29,Hayden Barnshaw,6/21/1939,Ally Drakes,10/17/1984
Kathleen,Musical,1.62,25003347.36,62162967.29,Elie Alcott,5/22/1936,Barbara-anne Rainbow,2/9/1946
"Kid in King Arthur's Court, A",Drama,1.71,11102664.93,31780634.98,Maynard Dannell,4/7/1967,Randell Forkan,7/3/1964
Wolf,Histórico,3.62,17806089.81,16085171.25,Danit Voaden,9/14/1987,Tania Eastwell,3/2/1957
Sword of Gideon,Drama,2.98,18414212.76,16759747.61,Calvin Crann,7/28/1934,Vernon Ferreo,4/20/1978
Disturbia,Drama,2.96,25840135.02,54543579.43,Mel Danko,4/27/1947,Anneliese Sympson,3/13/1953
Two in the Wave,Romance,1.9,20524159.34,49993316.61,Hetti Hemphill,6/3/2010,Pauletta Daltrey,1/4/2024
Young Again,Aventura,1.17,24778357.77,63578694.65,Cassaundra Chapelle,7/4/2019,Poppy Birkby,7/5/1950
Street People,Animación,3.26,11872796.98,19714427.59,Sumner Roof,3/13/1961,Claudette Hogsden,4/13/1980
Children of the Corn,Fantasía,1.72,26525449.94,46595143.86,Juana Padbery,3/20/2009,Aloise Vamplers,1/26/1997
Bloody Birthday,Terror,1.33,21775999.77,20816893.08,Thatcher Matyasik,11/24/1973,Lesli Breitler,2/15/1938
Cold in July,Suspense,1.11,27061656.19,23174338.47,Roseann Kidstone,12/9/2024,Madlen Jinkin,10/21/1937
Arachnophobia,Comedia,3.81,17252922.46,33142106.55,Sharai Crab,1/16/2001,Terence Scurman,7/15/1932
"Terrorizers, The (Kong bu fen zi)",Misterio,3.09,21170906.51,20450294.7,Isac Girvan,11/26/1997,Pincas Icom,4/24/1967
Rapid Fire,Comedia,2.01,10311265.98,27326206.63,Jennette Margrem,6/30/1957,Cyb Ahrend,10/22/2010
Bengazi,Romance,2.59,13514411.47,7390429.79,Willi Rassmann,12/30/2015,Tamqrah Gwyther,8/22/2023
Harmagedon,Terror,3.06,20247885.34,35666845.93,Milo Napier,5/16/1933,Aimil Cooch,6/17/1938
"Taming of the Shrew, The",Terror,3.41,29834630.53,64815497.33,Rollo Sear,11/10/1943,Isabel Pilsworth,3/31/1958
Stuck ,Musical,2.25,21931576.57,59178971.66,Nert Bladesmith,8/4/1982,Alida Cottham,11/4/1978
Citizen Dog (Mah nakorn),Suspense,1.07,26553713.67,73871102.44,Ricard Baudesson,2/1/1967,Lezley Domerq,3/7/1985
"Scent of Green Papaya, The (Mùi du du xhan - L'odeur de la papaye verte)",Misterio,1.69,9091060.77,15133580.71,Rene McGlone,2/11/2019,Noach Sommers,4/12/1937
Taps,Ciencia ficción,1.49,5453832.94,12396040.32,Dorette McQuade,2/16/2001,Kipper Kehir,8/13/1990
"Little Drummer Boy, The",Acción,2.25,6332492.7,14836155.47,Deny Izzat,11/1/1939,Rollie Wolledge,12/2/1996
That's Entertainment,Ciencia ficción,3.84,7381387.74,20756942.09,Tabina Rockall,10/20/1932,Saxe Hardistry,5/4/1949
Answer This!,Documental,3.9,28746201.33,18616451.63,Parnell Puckham,2/8/2026,Cassy McNuff,4/13/1965
After Tiller,Histórico,3.3,20567180.84,55781407.87,Maurice Benyan,11/30/1936,Marleen Hadland,6/6/1957
Lady in a Cage,Misterio,2.14,21015779.1,21435024.89,Alexis Skep,8/30/1998,Rainer Minmagh,12/4/2005
Neverwas,Misterio,2.1,6133998.7,11288961.05,Belicia Krzyzaniak,2/6/2011,Launce Clineck,9/7/1948
To the Sea (Alamar),Misterio,3.62,8107791.72,4881355.81,Joana McCosh,11/27/2020,Sinclair Macey,1/6/1987
Stalingrad,Animación,3.06,15999216.46,23699526.32,Eryn Jakaway,9/8/1977,Hanna Pallesen,5/1/1978
From Beginning to End (Do Começo ao Fim),Animación,1.62,18680509.24,35558142.05,Chan Arpur,2/6/2001,Nicoline Seebright,5/22/1996
Futurama: Bender's Game,Bélico,1.48,9376667.74,27563161.25,Eadmund Halms,9/30/1935,Galvan Triswell,5/27/1933
American Teen,Bélico,2.63,21133412.43,19913812.54,Judah Gammage,9/22/1962,Alexandros Wintringham,6/15/1974
Stoker,Comedia,1.25,11114074.43,11985351.42,Hannie Kegley,2/5/1957,Miof mela Crossdale,9/27/2023
Be Cool,Comedia,3.89,18011550.31,12678276.06,Garfield Cunnane,1/25/1988,Wendi Folkard,8/22/1932
That's Black Entertainment,Aventura,3.54,26965364.76,79526031.49,Jeffrey Weich,7/21/1960,Sayers Greenaway,1/23/1935
"Butcher's Wife, The",Suspense,1.54,6234122.3,13376304.6,Tedd Gascoine,7/25/1957,Jaquelyn Cristoferi,6/13/1960
Guardians of the Galaxy,Western,3.62,25774295.82,73786723.53,Marlo Margrett,3/15/1978,Cleve Caskie,10/17/1945
"Maybe, Maybe Not (Bewegte Mann, Der)",Western,2.56,13157565.67,37727148.97,Gardiner Applewhite,2/26/2022,Hastings Raun,11/4/1974
After the Life,Romance,2.21,28595731.33,62161437.2,Kahaleel Margrem,5/18/1977,Wilhelmine Marzelle,4/20/1958
Sweet November,Cine negro,3.76,27679169.28,22038696.27,Binni Dorricott,5/15/1942,Stacy Summons,11/17/1951
Godzilla vs. Megaguirus (Gojira tai Megagirasu: Jî shômetsu sakusen),Histórico,3.51,28780288.19,43794460.79,Bastien Tilte,10/15/1988,Maurie Dunsire,9/21/1957
Block-Heads,Animación,2.69,8940519.62,19153170.31,Davon Born,4/17/1986,Normand Duerdin,7/18/1969
Profound Desires of the Gods (Kamigami no fukaki yokubo) ,Cine negro,3.78,9007068.19,11672423.84,Ree Tytcomb,9/11/2020,Carri Edmand,2/26/1954
Meat Love,Documental,1.23,10003521.36,18987082.27,Ave d' Eye,9/23/2023,Smitty Bradman,8/27/1987
Cinematographer Style,Misterio,1.81,21048224.23,29809086.0,Jillie Nolan,9/26/1991,Windham Symcox,6/10/1942
The Youngest Profession,Misterio,1.83,17775224.66,52321346.66,Beale Searby,5/22/1944,Diena Crepin,1/6/2023
"Collector, The",Western,1.15,27877366.65,57710974.42,Barbabra Yesenin,11/14/1941,Bobette Scrimshire,8/3/1950
Plain Dirty (a.k.a. Briar Patch),Aventura,1.3,24155681.86,45518099.89,Hobie Marfe,8/13/1953,Cathy Darthe,1/16/2023
Shoeshine (Sciuscià),Western,3.1,11196315.29,27279858.24,Jessi Butfield,8/10/1997,Jasmin Rumming,9/5/1959
Summer of '42,Drama,2.86,29305127.2,55497310.05,Jo-anne Bentote,12/10/2022,Heywood Melbourne,6/23/2015
"Common Wealth (Comunidad, La)",Documental,3.82,6702186.16,15403812.24,Correy Kops,6/7/1932,Marion Bambra,10/16/1958
Inglourious Basterds,Western,2.24,13691736.75,32269891.76,Irwin Linnit,1/24/1981,Iggie Sparshutt,6/14/1962
Shanghai,Fantasía,1.56,21580172.84,57453105.7,Yorker Goodison,5/28/1960,Dory Bembrigg,12/29/1964
City Island,Bélico,3.61,18979806.44,28741953.27,Pauline Dionisetto,10/12/1970,Barclay Pretious,12/4/1988
"Mysterious Geographic Explorations of Jasper Morello, The",Musical,1.57,16907533.26,16222270.94,Jean Aldrich,11/14/2005,Fairfax McQuarter,11/14/1978
Dr. Dolittle 3,Documental,3.02,12742100.42,29171665.88,Roseanne Janous,4/1/1996,Melisande Wickling,7/14/1989
Parisian Love,Romance,3.04,24601096.34,42255750.96,Xylina Onraet,6/25/1992,Pryce Youthead,5/24/1970
Figures in a Landscape,Romance,2.4,27151175.09,57363401.78,Ana Dunniom,12/1/1985,Kingston Gentner,8/20/2005
Glory Daze,Musical,2.67,14372805.81,15577914.75,Ciro Prendergrass,7/19/1967,Judie Ashfull,7/24/1987
Bringing Up Baby,Terror,1.96,22594339.28,29811369.03,Cherye Jina,2/21/2026,Cass Dallison,11/5/2024
End of Suburbia: Oil Depletion and the Collapse of the American Dream,Suspense,2.37,27002446.13,47956846.94,Beverlie Howell,3/2/1990,Trula Cubbinelli,5/31/2023
"East Side, West Side",Ciencia ficción,3.06,14973989.54,44085558.79,Olivia Askem,3/25/1957,Briny Whiteley,7/2/1987
Bicentennial Man,Animación,3.68,14059289.62,25816800.76,Ivy Sprowson,1/19/1964,Miles Brodnecke,2/26/1968
Boiling Point,Histórico,3.14,25835357.59,47634185.09,Salmon Blakiston,4/2/1961,Adolphe Daniel,1/12/2022
Welcome to the South (Benvenuti al Sud),Musical,3.1,23081623.33,51393620.44,Elisha Salthouse,8/27/2024,Vanda Symons,4/6/1998
Lille Fridolf and I,Documental,1.46,16319551.62,34463606.14,Leoline Probart,12/31/1949,Reidar Whitemarsh,4/21/2025
Tom Segura: Completely Normal,Aventura,3.13,21085765.9,62032247.67,Zed Pettersen,11/3/1966,Samson Kemm,3/15/2006
Turn Left at the End of the World (Sof Ha'Olam Smola),Bélico,2.91,6662979.66,16856818.57,Winona Burchill,12/6/1935,Bat Abbiss,11/11/1982
Bullitt,Bélico,2.39,27334160.43,40055466.39,Shirl Stoneman,1/13/1988,Magnum Guillon,7/29/1930
Jolene,Bélico,2.87,28097151.39,76832821.97,Latia Hanalan,4/9/2000,Dolorita Agass,10/7/2019
Insidious: Chapter 2,Terror,3.38,12503305.46,10252101.88,Quincy Otterwell,3/9/2009,Omero Palombi,11/27/2013
"Golden Coach, The (Le carrosse d'or)",Cine negro,3.53,12548923.03,10457307.14,Tova Howson,8/18/2012,Fletcher Macura,1/4/1950
The War at Home,Terror,1.01,9073368.82,13433002.53,Milly O'Dulchonta,7/25/1955,Teddy Burlingame,5/27/1936
Sealed Cargo,Ciencia ficción,2.69,13419868.93,6780547.94,Cynthia Faughey,8/4/2002,Rozalie Biernat,5/20/1951
The Cyclone,Suspense,3.74,28602119.08,45803267.53,Wilt Nutbeem,12/23/2018,Rouvin Bramwell,11/8/2011
Last Days in the Desert,Western,1.96,25778732.26,29111846.83,Merrily Syratt,11/19/2021,Lester Bollum,5/28/1957
"Mistress of Spices, The",Terror,2.57,20955826.68,25840370.59,Leoine de Cullip,5/25/1952,Joya Boatman,9/8/1977
"Friends at the Margherita Cafe, The (Gli amici del bar Margherita)",Musical,1.06,9986578.36,13319456.97,Brooks Sammut,6/4/1976,Aloin O'Driscoll,4/18/1931
Cold Comfort Farm,Suspense,3.65,13209084.88,30721531.4,Gertruda Eilhersen,6/18/1954,Doe Smithers,2/4/1974
"Bruno (Dress Code, The)",Comedia,2.85,8570524.48,19340110.64,Liza Katzmann,9/12/1997,Lila McGeagh,10/17/1950
Fear Me Not (Den du frygter),Misterio,1.13,14396068.28,30167905.55,Cilka McAless,2/6/2026,Elvis Bunn,6/16/2023
"Disappearance of Haruhi Suzumiya, The (Suzumiya Haruhi no shôshitsu)",Fantasía,2.27,9588215.78,9039983.44,Freeman Queyeiro,4/15/1998,Monti Camilleri,1/1/1956
Operación Cannabis,Histórico,2.3,22192119.87,30175349.69,Benton Collymore,1/31/1935,Haydon Ruter,8/27/1946
Role Models,Ciencia ficción,2.51,11097227.37,17560594.78,Verina Crossingham,7/20/1959,Ethelred Stanfield,4/11/1976
Butterfly (La lengua de las mariposas),Animación,1.05,16724768.66,39095892.1,Joly Feige,4/22/2006,Gerrilee Sollner,2/24/2015
The Pirates,Suspense,3.65,23853086.86,41009357.3,Willdon Turnor,5/5/1953,Genevieve Kohnen,3/20/1953
